news_id,member_id,headline,source,date,url,raw_text,sort_order,extraction_source,strict_extracted,permissive_extracted,permissive_only
news_211463751f,mem_9f51021d60,Eight UCalgary researchers appointed new Canada Research Chairs,ucalgary.ca,2024,https://ucalgary.ca/news/eight-ucalgary-researchers-appointed-new-canada-research-chairs,Eight UCalgary researchers appointed new Canada Research Chairs . (2024),0,both,yes,yes,no
news_6803c30273,mem_41979986b6,Ontarians wagering far more on legal online casino games than on sports betting,www.cbc.ca,2023,https://www.cbc.ca/news/business/ontario-online-gaming-wagers-sports-casino-1.6911479,Ontarians wagering far more on legal online casino games than on sports betting . CBC News. (2023),0,both,yes,yes,no
news_9d827eeccf,mem_41979986b6,Are sports betting ads getting out of control in Canada? Experts weigh in,www.ctvnews.ca,2023,https://www.ctvnews.ca/sports/are-sports-betting-ads-getting-out-of-control-in-canada-experts-weigh-in-1.6399493,Are sports betting ads getting out of control in Canada? Experts weigh in . CTV News. (2023),1,both,yes,yes,no
news_03a0607bf7,mem_41979986b6,"Reopening post-pandemic could trigger Canadian battling addiction, experts warn",globalnews.ca,2021,https://globalnews.ca/news/8030513/reopening-post-covid-addictions-mental-health/,"Reopening post-pandemic could trigger Canadian battling addiction, experts warn . Global News. (2021)",2,both,yes,yes,no
news_ba2188b8c6,mem_3e0ef14a60,New Wood's Homes Research Chair in Children's Mental Health builds bridges to front lines,www.ucalgary.ca,2017,https://www.ucalgary.ca/utoday/issue/2017-05-19/new-woods-homes-research-chair-childrens-mental-heal,New Wood's Homes Research Chair in Children's Mental Health builds bridges to front lines . UToday. (2017),0,both,yes,yes,no
news_e5c514a19f,mem_3e0ef14a60,"Mistakes are Inevitable, Not Irreparable",taylorinstitute.ucalgary.ca,2024,https://taylorinstitute.ucalgary.ca/news/mistakes-are-inevitable-not-irreparable-one-educator-using-simulation-and-role-play-classroom,"Mistakes are Inevitable, Not Irreparable . UToday. (2024)",1,both,yes,yes,no
news_078f5e6d99,mem_0aa82264fe,Eight UCalgary researchers appointed new Canada Research Chairs,ucalgary.ca,2024,https://ucalgary.ca/news/eight-ucalgary-researchers-appointed-new-canada-research-chairs,Eight UCalgary researchers appointed new Canada Research Chairs . (2024),0,both,yes,yes,no
news_b42bec998e,mem_78b75777c4,Program media,cumming.ucalgary.ca,,https://cumming.ucalgary.ca/research/perinatal-stroke/news,Program media .,0,both,yes,yes,no
news_28b6cfdcd5,mem_c6790bf1f8,"‘Mommy Brain’ Is Not a Thing, Say Scientists",www.newsmax.com,2023,https://www.newsmax.com/health/health-news/mommy-brain-pregnancy-mothers/2023/02/08/id/1107838/,"‘Mommy Brain’ Is Not a Thing, Say Scientists . Newsmax. (2023)",0,both,yes,yes,no
news_1997b42892,mem_c6790bf1f8,The Science of “Mom Brain”,www.newmommymedia.com,2022,https://www.newmommymedia.com/episode/the-science-of-mom-brain/,"The Science of “Mom Brain” . ""Newbies: New Moms, New Babies"", New Mommy Media. (2022)",1,both,yes,yes,no
news_46bf28804c,mem_c6790bf1f8,Mommy Brain’ Is Real,www.nytimes.com,2021,https://www.nytimes.com/2021/07/14/parenting/mom-brain-forgetfulness-science.html,Mommy Brain’ Is Real . The New York Times. (2021),2,both,yes,yes,no
news_53e92a7d44,mem_c6790bf1f8,The Science Behind Workplace Stress,bc.ctvnews.ca,2021,https://bc.ctvnews.ca/video?clipId=2156106,The Science Behind Workplace Stress . CTV Her Health segment. (2021),3,both,yes,yes,no
news_e6e3600ef2,mem_92fd45a247,Microneedle Method Demonstrated at University of Calgary,calgary.ctvnews.ca,2023,https://calgary.ctvnews.ca/yahoo-calgary-researchers-demonstrate-micro-needle-method-with-stampede-style-1.6480669,Microneedle Method Demonstrated at University of Calgary . CTV Nightly News. (2023),0,both,yes,yes,no
news_e92c457133,mem_92fd45a247,"UCalgary researchers aim to stop or prevent epileptic seizures. uToday, University of Calgary campus wide. (2021)",,2021,,"UCalgary researchers aim to stop or prevent epileptic seizures. uToday, University of Calgary campus wide. (2021)",1,both,yes,yes,no
news_1a5b388c4f,mem_92fd45a247,Tiny 'YAHOO' sign highlights unique laser technology at University of Calgary. CTV Nightly News. (2019),,2019,,Tiny 'YAHOO' sign highlights unique laser technology at University of Calgary. CTV Nightly News. (2019),2,both,yes,yes,no
news_51f085eca6,mem_92fd45a247,"Spin out company developed from University research. uToday, University of Calgary campus wide. (2018)",,2018,,"Spin out company developed from University research. uToday, University of Calgary campus wide. (2018)",3,both,yes,yes,no
news_e192d610d4,mem_92fd45a247,Cleanrooms. CTV Nightly News. (2017),,2017,,Cleanrooms. CTV Nightly News. (2017),4,both,yes,yes,no
news_c88dcfc3d6,mem_92fd45a247,Brain Machine interfaces. CTV Nightly News. (2016),,2016,,Brain Machine interfaces. CTV Nightly News. (2016),5,both,yes,yes,no
news_296674322c,mem_92fd45a247,TENET i2c team wows judges with monitoring platform to measure brain activity,schulich.ucalgary.ca,2018,https://schulich.ucalgary.ca/news/tenet-i2c-team-wows-judges-monitoring-platform-measure-brain-activity,"TENET i2c team wows judges with monitoring platform to measure brain activity . Schulich School of Engineering, Campus Wide. (2018)",6,both,yes,yes,no
news_53a1e64942,mem_5e831960ba,Innovator Educator Video Series,taylorinstitute.ucalgary.ca,2023,https://taylorinstitute.ucalgary.ca/news/new-video-series-captures-innovation-teaching-and-learning,Innovator Educator Video Series . (2023),0,both,yes,yes,no
news_89a4cc0462,mem_3f1cca7ee5,A Problematic Escape: The Interaction Between Smoking and Gambling. The Brief Addiction Science Information Resource (BASIS). (2017),,2017,,A Problematic Escape: The Interaction Between Smoking and Gambling. The Brief Addiction Science Information Resource (BASIS). (2017),0,both,yes,yes,no
news_a9227494bb,mem_c98befafc2,Transdiagnostic Cognitive Behavioural Therapies for Youth with David Lindenbach,podcasts.apple.com,2026,https://podcasts.apple.com/us/podcast/ava-conversations-transdiagnostic-cognitive-behavioural/id1798591077?i=1000743568454,Transdiagnostic Cognitive Behavioural Therapies for Youth with David Lindenbach . HERHealth Podcast. (2026),0,both,yes,yes,no
news_1b00143f9a,mem_c9fd274cf3,Renewed Funding for Cross-Provincial Chair in Women's Mental Health,www.royalalex.org,2021,https://www.royalalex.org/our-stories/post/renewed-funding-cross-provincial-chair-in-women-s-mental-research-chair,Renewed Funding for Cross-Provincial Chair in Women's Mental Health . Royal Alexandra Foundation Website. (2021),0,both,yes,yes,no
news_35a0fe30b2,mem_c9fd274cf3,Finding the Fractures in Women's health,www.albertawomenshealthfoundation.org,2022,https://www.albertawomenshealthfoundation.org/our-impact,Finding the Fractures in Women's health . Alberta Women's Health Foundation. (2022),1,both,yes,yes,no
news_77503c20ad,mem_c9fd274cf3,Less than four percent of women receive help they need,www.ucalgary.ca,2018,https://www.ucalgary.ca/news/increasing-less-four-cent-women-who-currently-receive-any-kind-pre-natal-mental-health-care,Less than four percent of women receive help they need . University of Calgary website. (2018),2,both,yes,yes,no
news_d20bdf2534,mem_c9fd274cf3,"10th Annual Shopper's Run for women, Edmonton",www.royalalex.org,2022,https://www.royalalex.org/our-stories/post/announcing-the-10th-annual-run-for-women-2022,"10th Annual Shopper's Run for women, Edmonton . Royal Alex.org. (2022)",3,both,yes,yes,no
news_8ae3e278ee,mem_32edff8f29,University of Calgary professor giving a voice to people with non-verbal autism,www.ctvnews.ca,,https://www.ctvnews.ca/calgary/article/university-of-calgary-professor-giving-a-voice-to-people-with-nonverbal-autism/,University of Calgary professor giving a voice to people with non-verbal autism . CTV News Calgary.,0,both,yes,yes,no
news_967729ac03,mem_32edff8f29,The Quest to Ensure Nonspeaking Autistic People Are Heard,spectrum.ieee.org,2025,https://spectrum.ieee.org/nonverbal-autism,The Quest to Ensure Nonspeaking Autistic People Are Heard . IEE Spectrum. (2025),1,both,yes,yes,no
news_a60d070e73,mem_32edff8f29,ETHEREAL research group develops augmented reality programs for non-speaking autistic individuals,thegauntlet.ca,2025,https://thegauntlet.ca/2025/01/19/ethereal-research-group-develops-augmented-reality-programs-for-non-speaking-autistic-individuals/,ETHEREAL research group develops augmented reality programs for non-speaking autistic individuals . The Gauntlet Publication Society. (2025),2,both,yes,yes,no
news_ca2c270b45,mem_32edff8f29,Schulich Connects panel focuses on inclusivity through tech for neurodiverse people,ucalgary.ca,2024,https://ucalgary.ca/news/schulich-connects-panel-focuses-inclusivity-through-tech-neurodiverse-people,Schulich Connects panel focuses on inclusivity through tech for neurodiverse people . UToday. (2024),3,both,yes,yes,no
news_921a1db788,mem_32edff8f29,Augmented reality technology helps non-speaking autistic population find their voice,www.ucalgary.ca,2023,https://www.ucalgary.ca/news/augmented-reality-technology-helps-non-speaking-autistic-population-find-their-voice,Augmented reality technology helps non-speaking autistic population find their voice . UToday. (2023),4,both,yes,yes,no
news_9ad17cef3e,mem_32edff8f29,Myth-busting technology gives people with non-verbal autism a voice,taylorinstitute.ucalgary.ca,2022,https://taylorinstitute.ucalgary.ca/news/myth-busting-technology-gives-people-non-verbal-autism-voice,Myth-busting technology gives people with non-verbal autism a voice . UToday. (2022),5,both,yes,yes,no
news_f0917aba7d,mem_32edff8f29,UCalgary research to give voice to minimally verbal autistic population,schulich.ucalgary.ca,2021,https://schulich.ucalgary.ca/news/ucalgary-research-give-voice-minimally-verbal-autistic-population,UCalgary research to give voice to minimally verbal autistic population . UToday. (2021),6,both,yes,yes,no
news_3cf2528f6d,mem_06b710915b,"UCalgary mobilizes students, researchers and robots to help kids thrive",www.ucalgary.ca,2024,https://www.ucalgary.ca/news/ucalgary-mobilizes-students-researchers-and-robots-help-kids-thrive,"UCalgary mobilizes students, researchers and robots to help kids thrive . UToday. (2024)",0,both,yes,yes,no
news_dc7100f82f,mem_06b710915b,PONI Lab Robotic Walking,www.youtube.com,2024,https://www.youtube.com/watch?v=iNic0bwZpuI,PONI Lab Robotic Walking . YouTube. (2024),1,both,yes,yes,no
news_71e34caf2c,mem_06b710915b,Robotic walking increases mobility for kids,calgary.ctvnews.ca,2024,https://calgary.ctvnews.ca/video/c2860306-robotic-walking-increases-mobility-for-kids,Robotic walking increases mobility for kids . CTV Calgary. (2024),2,both,yes,yes,no
news_7abb25461a,mem_06b710915b,RESTORE Network Launch,calgaryherald.com,2023,https://calgaryherald.com/news/local-news/calgary-neurological-disorders-technology-and-therapies,RESTORE Network Launch . Calgary Herald. (2023),3,both,yes,yes,no
news_60f1614ff4,mem_06b710915b,Mom raises funds for 'robotic legs' for daughter with rare disease,calgaryherald.com,2023,https://calgaryherald.com/news/local-news/mom-raises-funds-robotic-legs-rare-disease,Mom raises funds for 'robotic legs' for daughter with rare disease . Calgary Herald. (2023),4,both,yes,yes,no
news_b304807ba5,mem_06b710915b,Steps Toward a Happier Future,www.ctvnews.ca,2022,https://www.ctvnews.ca/video?clipId=2576977&jwsource=cl,Steps Toward a Happier Future . CTV National. (2022),5,both,yes,yes,no
news_93c40d3dfd,mem_06b710915b,Danish team visits UCalgary to strengthen adaptive sport partnerships,ucalgary.ca,2018,https://ucalgary.ca/news/danish-team-visits-ucalgary-strengthen-adaptive-sport-partnerships?utm_source=UToday&utm_medium=Email&utm_campaign=February-15-2018&utm_term=Danish%2520team%2520visits%2520UCalgary%2520to%2520strengthen%2520adaptive%2520sport%2520partnerships,Danish team visits UCalgary to strengthen adaptive sport partnerships . UToday. (2018),6,both,yes,yes,no
news_b2faa891a4,mem_5357e9a762,People with Chronic Pain who Live with a Dog,calgaryherald.com,2018,http://calgaryherald.com/health/allford-looking-for-new-doggy-love-and-all-its-benefits,People with Chronic Pain who Live with a Dog . Calgary Herald. (2018),0,both,yes,yes,no
news_6d78d038b9,mem_a0bb31cffa,"Dr. Stahnisch was featured in a recent story on ""Marcelle Lapicque: A Forgotten Pioneer in Neuroscience""",www.youtube.com,2026,https://www.youtube.com/watch?v=5wAeyvKo1xg,"Dr. Stahnisch was featured in a recent story on ""Marcelle Lapicque: A Forgotten Pioneer in Neuroscience"" . The Transmitter. (2026)",0,both,yes,yes,no
news_800e106e39,mem_a0bb31cffa,"Dr. Frank W. Stahnisch presented to the Huntington Library and the Southern California Society for the History of Medicine in Los Angeles, CA",news.ucalgary.ca,2026,https://news.ucalgary.ca/news/great-minds-despair-forced-migration-german-speaking-neuroscientists-north-america,"Dr. Frank W. Stahnisch presented to the Huntington Library and the Southern California Society for the History of Medicine in Los Angeles, CA . University of Calgary News. (2026)",1,both,yes,yes,no
news_626f75bcc8,mem_a0bb31cffa,How a medical pioneer's cocaine addiction helped shape modern-day residency programs,www.cbc.ca,2026,https://www.cbc.ca/news/canada/calgary/medical-residency-programs-history-1.7578315,How a medical pioneer's cocaine addiction helped shape modern-day residency programs . Canadian Broadcasting Corporation -- CBC News. (2026),2,both,yes,yes,no
news_ef1ab10cef,mem_a0bb31cffa,"Dr. Frank W. Stahnisch gave a paper in the History of Psychiatry and Medicine Colloquium at Harvard University’s Countway Library, Boston, MA",news.ucalgary.ca,2025,https://news.ucalgary.ca/news/quest-holism-and-integration-healing-wellness-and-complementary-medicine-1870-2020,"Dr. Frank W. Stahnisch gave a paper in the History of Psychiatry and Medicine Colloquium at Harvard University’s Countway Library, Boston, MA . University of Calgary News. (2025)",3,both,yes,yes,no
news_303d90f7bb,mem_a0bb31cffa,University of Calgary | 2025 New RSC Fellows & College Members,www.youtube.com,2025,https://www.youtube.com/watch?v=g626L359FkU,University of Calgary | 2025 New RSC Fellows & College Members . The Royal Society of Canada. (2025),4,both,yes,yes,no
news_f8f8c24308,mem_a0bb31cffa,Frank W. Stahnisch recognized for work in history of neurosciences and medicine,www.myscience.ca,2025,https://www.myscience.ca/news/wire/frank_w_stahnisch_recognized_for_work_in_history_of_neurosciences_and_medicine-2025-ucalgary,Frank W. Stahnisch recognized for work in history of neurosciences and medicine . News.myScience. (2025),5,both,yes,yes,no
news_88ff091147,mem_a0bb31cffa,The Neuroscientists who Fled Nazi Germany with Frank Stahnisch,americancampuspodcast.buzzsprout.com,2025,https://americancampuspodcast.buzzsprout.com/2396665/episodes/17638837-the-neuroscientists-who-fled-nazi-germany-with-frank-stahnisch,The Neuroscientists who Fled Nazi Germany with Frank Stahnisch . American Campus Podcast. (2025),6,both,yes,yes,no
news_5f3ba16167,mem_a0bb31cffa,History of Medicine Days conference showcases student excellence,thegauntlet.ca,2025,https://thegauntlet.ca/2025/03/13/history-of-medicine-days-conference-showcases-student-excellence/,History of Medicine Days conference showcases student excellence . The Gauntlet. (2025),7,both,yes,yes,no
news_d4281d6f2c,mem_a0bb31cffa,Frank Stahnisch presents at the Max Planck Institute for the History of Science in Berlin,ucalgary.ca,2025,https://ucalgary.ca/news/frank-stahnisch-presents-max-planck-institute-history-science-berlin,Frank Stahnisch presents at the Max Planck Institute for the History of Science in Berlin . University of Calgary News. (2025),8,both,yes,yes,no
news_3ca9576b43,mem_a0bb31cffa,Dr. Frank W. Stahnisch gives paper at Harvard Medical School,arts.ucalgary.ca,2024,https://arts.ucalgary.ca/news/dr-frank-w-stahnisch-gives-paper-harvard-medical-school,Dr. Frank W. Stahnisch gives paper at Harvard Medical School . University of Calgary News. (2024),9,both,yes,yes,no
news_0df06395ad,mem_a0bb31cffa,"Frank W. Stahnisch, MD, MSc, PhD, is named a 2024 Honorary Fellow of the Royal College",news.royalcollege.ca,2024,https://news.royalcollege.ca/en/newsroom/posts/announcing-the-royal-college-s-2024-award-recipients-and-honorar.html,"Frank W. Stahnisch, MD, MSc, PhD, is named a 2024 Honorary Fellow of the Royal College . Royal College of Physicians and Surgeons of Canada. (2024)",10,both,yes,yes,no
news_65990bb30a,mem_a0bb31cffa,Dr. Frank W. Stahnisch presents at the Max Planck Institute for Psycholinguistics,arts.ucalgary.ca,2023,https://arts.ucalgary.ca/news/dr-frank-w-stahnisch-presents-max-planck-institute-psycholinguistics,Dr. Frank W. Stahnisch presents at the Max Planck Institute for Psycholinguistics . University of Calgary News. (2023),11,both,yes,yes,no
news_3ce3be0a8a,mem_a0bb31cffa,Frank Stahnisch presented to the Royal College of Psychiatrists in the UK,www.ucalgary.ca,2022,https://www.ucalgary.ca/news/frank-stahnisch-presented-royal-college-psychiatrists-uk,Frank Stahnisch presented to the Royal College of Psychiatrists in the UK . Royal College of Psychiatry (UK). (2022),12,both,yes,yes,no
news_5d13f7a707,mem_a0bb31cffa,UCalgary History's Frank W. Stahnisch receives book award,news.ucalgary.ca,2022,https://news.ucalgary.ca/news/ucalgary-historys-frank-w-stahnisch-receives-book-award,UCalgary History's Frank W. Stahnisch receives book award . University of Calgary News. (2022),13,both,yes,yes,no
news_29687129d5,mem_a0bb31cffa,Jason A. Hannah Medal - Medical historian Frank W. Stahnisch recognized by Royal Society of Canada,educationnewscanada.com,2021,https://educationnewscanada.com/article/education/level/university/1/918884/medical-historian-frank-w-stahnisch-recognized-by-royal-society-of-canada.html,Jason A. Hannah Medal - Medical historian Frank W. Stahnisch recognized by Royal Society of Canada . Education News Canada. (2021),14,both,yes,yes,no
news_9d02d65776,mem_98307ce526,Community partnership aims to enhance child wellness.,educationnewscanada.com,2024,https://educationnewscanada.com/article/education/region/alberta/30/1100928/community-partnership-aims-to-enhance-child-wellness.html,Community partnership aims to enhance child wellness. . Education News Today Canada. . (2024),0,both,yes,yes,no
news_1292b52295,mem_98307ce526,Academic success to support behavioral and mental health.,vancouverislandmentalhealthsociety.org,,https://vancouverislandmentalhealthsociety.org/podcast/academic-success-to-support-behavioral-and-mental-health/,Academic success to support behavioral and mental health. . Vancouver Island Mental Health Society. .,1,both,yes,yes,no
news_787b887d1d,mem_c4a9f6ea6f,Selected media,www.neurolab.ca,,https://www.neurolab.ca/media,Selected media .,0,both,yes,yes,no
news_1580757029,mem_92df5b400e,"Cuatro preguntas para Guillermo Delgado García, MD",www.brainandlife.org,2021,https://www.brainandlife.org/the-magazine/spanish/es-2021/primavera-2021/cuatro-preguntas-para-guillermo-delgado-garcia-md/,"Cuatro preguntas para Guillermo Delgado García, MD . Brain & Life en Español. (2021)",0,both,yes,yes,no
news_14ab412077,mem_92df5b400e,OMI Fellow Winner of the American Academy of Neurology Scientific Research Award 2021,www.openmedicalinstitute.org,2021,https://www.openmedicalinstitute.org/blog/2021/03/10/omi-fellow-winner-of-the-american-academy-of-neurology-scientific-research-award-2021/,OMI Fellow Winner of the American Academy of Neurology Scientific Research Award 2021 . Open Medical Institute. (2021),1,both,yes,yes,no
news_a070f19ff9,mem_f736a5948e,CWD vaccine delays illness in mice. JAVMA. (2019),,2019,,CWD vaccine delays illness in mice. JAVMA. (2019),0,both,yes,yes,no
news_edfdf42990,mem_f736a5948e,CWD,calgary.ctvnews.ca,2021,https://calgary.ctvnews.ca/alberta-uses-hunters-to-reduce-deer-numbers-in-effort-to-slow-spread-of-debilitating-disease-1.5550232,"CWD . CWD, CTV News, CTV. (2021)",1,both,yes,yes,no
news_147c985abc,mem_f736a5948e,"CWD. RealTalk Ryan Jespersen, RealTalk Ryan Jespersen. (2021)",,2021,,"CWD. RealTalk Ryan Jespersen, RealTalk Ryan Jespersen. (2021)",2,both,yes,yes,no
news_44322f8a03,mem_f736a5948e,BSE,ici.radio-canada.ca,2021,https://ici.radio-canada.ca/recit-numerique/2245/crise-vache-folle-covid-coronavirus,BSE . Radio Canada. (2021),3,both,yes,yes,no
news_81e402e237,mem_f736a5948e,"CWD. CBC Radio in Saskatchewan, CBC Radio in Saskatchewan. (2021)",,2021,,"CWD. CBC Radio in Saskatchewan, CBC Radio in Saskatchewan. (2021)",4,both,yes,yes,no
news_6cbb6cc507,mem_f736a5948e,"CWD. 660News Calgary, 660News Calgary. (2021)",,2021,,"CWD. 660News Calgary, 660News Calgary. (2021)",5,both,yes,yes,no
news_b7ad4bcd3b,mem_f736a5948e,"CWD. The Calgary Eyeopener, CBC Radio. (2021)",,2021,,"CWD. The Calgary Eyeopener, CBC Radio. (2021)",6,both,yes,yes,no
news_937af1e847,mem_f736a5948e,"CWD. 630 CHED in Edmonton, 630 CHED in Edmonton. (2021)",,2021,,"CWD. 630 CHED in Edmonton, 630 CHED in Edmonton. (2021)",7,both,yes,yes,no
news_ca53e378f6,mem_f736a5948e,"CWD. afternoon radio show (Radio Active), CBC. (2021)",,2021,,"CWD. afternoon radio show (Radio Active), CBC. (2021)",8,both,yes,yes,no
news_1116a50623,mem_f736a5948e,"CWD. EyeOpener, CTV News. (2021)",,2021,,"CWD. EyeOpener, CTV News. (2021)",9,both,yes,yes,no
news_d8366d3538,mem_f736a5948e,CWD,www.theglobeandmail.com,2021,https://www.theglobeandmail.com/canada/alberta/article-spreading-wildlife-disease-threatens-deer-elk-and-maybe-humans-new/,"CWD . The Globe and Mail, The Canadian Press. (2021)",10,both,yes,yes,no
news_39ccc9476a,mem_f736a5948e,New Brunswick cluster,thewalrus.ca,2021,https://thewalrus.ca/new-brunswicks-medical-mystery/,New Brunswick cluster . The Walrus . (2021),11,both,yes,yes,no
news_0d04474862,mem_f736a5948e,CWD. The Western Producer. (2021),,2021,,CWD. The Western Producer. (2021),12,both,yes,yes,no
news_587a68e725,mem_f736a5948e,"CWD. CWD, National Post. (2021)",,2021,,"CWD. CWD, National Post. (2021)",13,both,yes,yes,no
